日期,ID,金額
2018/12/2,A0718,351
2018/4/3,A1047,430
2018/8/17,A1149,641
2018/9/20,A1309,579
2018/1/23,A0915,741
2018/7/28,A0423,327
2018/9/16,A0951,748
2018/8/4,A1318,309
2018/8/28,A1395,543
2018/11/26,A0478,516
2018/4/19,A0467,586
2018/12/9,A0648,587
2018/7/22,A0498,392
2018/3/21,A1397,355
2018/12/1,A0499,554
2018/7/4,A0697,594
2018/1/2,A0544,436
2018/11/17,A0996,524
2018/10/12,A0718,684
2018/3/10,A1326,531
2018/11/1,A1059,475
2018/9/17,A0624,573
2018/10/13,A1114,387
2018/11/9,A0351,472
2018/10/31,A1150,507
2018/5/28,A0828,614
2018/9/26,A0494,467
2018/11/2,A0870,654
2018/6/12,A1296,744
2018/2/8,A1102,345
2018/1/22,A0586,637
2018/7/10,A0536,532
2018/1/9,A1384,633
2018/9/2,A1210,571
2018/2/10,A1104,629
2018/9/22,A0725,481
2018/5/23,A0823,410
2018/1/21,A1361,598
2018/3/18,A0702,458
2018/7/18,A1088,720
2018/9/27,A0873,430
2018/10/29,A0981,314
2018/9/28,A0929,634
2018/2/10,A0466,414
2018/12/13,A0947,336
2018/5/29,A0786,652
2018/7/16,A0767,301
2018/5/12,A0678,501
2018/4/7,A0487,535
2018/1/22,A1244,364
2018/3/27,A0864,373
2018/3/9,A1037,378
2018/10/6,A1018,535
2018/6/29,A0482,352
2018/11/11,A1304,587
2018/8/3,A1209,532
2018/2/9,A0807,640
2018/9/5,A1279,344
2018/8/4,A0661,740
2018/7/28,A1293,653
2018/4/7,A1249,725
2018/12/7,A0791,575
2018/12/1,A0706,611
2018/8/12,A1295,327
2018/3/13,A1034,318
2018/6/19,A0615,473
2018/4/25,A1090,439
2018/11/10,A1179,326
2018/7/5,A0713,635
2018/7/25,A0928,330
2018/5/26,A0544,479
2018/9/10,A1190,500
2018/10/17,A0372,329
2018/5/9,A1361,619
2018/2/14,A1223,392
2018/4/16,A0705,561
2018/1/14,A0807,736
2018/5/4,A0625,523
2018/1/12,A0713,333
2018/11/2,A0856,347
2018/11/28,A1160,345
2018/8/9,A1104,391
2018/2/22,A1152,479
2018/1/2,A0562,698
2018/1/21,A0864,307
2018/10/8,A0569,646
2018/7/1,A1287,619
2018/8/30,A0753,603
2018/5/30,A1000,629
2018/8/25,A1031,421
2018/8/31,A0918,586
2018/7/9,A0688,675
2018/1/3,A1350,301
2018/1/8,A0864,481
2018/2/6,A0859,380
2018/10/6,A0365,709
2018/1/20,A0941,521
2018/5/2,A1182,744
2018/10/31,A1211,685
2018/12/21,A0753,317
2018/9/28,A0767,633
2018/9/20,A0545,568
2018/3/22,A1402,530
2018/11/7,A1150,646
2018/10/22,A0875,703
2018/5/4,A0995,567
2018/8/3,A0597,732
2018/4/17,A0928,458
2018/6/11,A1182,506
2018/6/7,A0951,318
2018/7/16,A0500,738
2018/2/11,A0474,310
2018/9/9,A0566,606
2018/11/16,A1173,521
2018/8/30,A0567,427
2018/7/3,A0586,610
2018/11/22,A1325,546
2018/12/30,A0516,361
2018/12/27,A1371,525
2018/7/29,A0739,742
2018/7/20,A0850,707
2018/3/8,A0461,742
2018/8/22,A0991,517
2018/1/20,A0389,727
2018/9/1,A0423,487
2018/2/16,A1325,380
2018/2/22,A0914,592
2018/2/1,A0423,379
2018/12/26,A0789,578
2018/7/3,A1063,644
2018/7/11,A0373,325
2018/10/28,A0486,514
2018/10/20,A1094,679
2018/11/8,A1071,311
2018/11/25,A1211,570
2018/5/3,A0678,369
2019/1/1,A1217,307
2018/10/15,A0667,726
2018/12/1,A0941,659
2018/2/7,A0417,508
2018/4/21,A1123,441
2018/12/7,A1336,378
2018/8/20,A0702,306
2018/3/9,A0975,672
2018/4/15,A1375,683
2018/9/25,A0870,557
2018/6/7,A1378,595
2018/11/27,A0765,659
2018/11/1,A1330,423
2018/3/27,A0487,720
2018/1/30,A1118,370
2018/2/27,A0401,576
2018/7/1,A0850,333
2018/3/18,A0389,534
2018/7/16,A0356,410
2018/5/18,A0561,313
2018/7/10,A0935,500
2018/6/11,A0929,499
2018/11/1,A0420,323
2018/8/25,A0376,349
2018/3/23,A1183,352
2018/5/7,A0404,630
2018/12/22,A1251,642
2018/4/25,A1078,566
2018/7/10,A0550,478
2018/11/4,A1108,306
2018/3/25,A0732,590
2018/5/11,A0970,490
2018/8/22,A1261,386
2018/8/24,A0914,507
2018/7/14,A1172,404
2018/6/13,A1219,406
2018/8/31,A0967,301
2018/11/4,A0970,462
2018/12/7,A0467,545
2018/5/28,A1411,716
2018/7/11,A0822,370
2018/11/5,A1039,346
2018/5/17,A1149,600
2018/4/17,A0605,335
2018/9/11,A0778,459
2018/2/21,A1118,719
2018/11/24,A0710,417
2018/7/30,A0891,335
2018/10/24,A0923,522
2018/12/18,A0615,642
2018/9/24,A0739,546
2018/8/25,A0921,741
2018/3/3,A0962,738
2018/12/10,A0975,576
2018/4/25,A1210,489
2018/7/7,A0355,654
2018/6/29,A0940,326
2018/7/11,A0740,473
2018/11/26,A1011,355
2018/2/25,A0642,421
